,date,ContractName,rv,bv,ssj,interval,method
0,2001-01-02,ESH01,0.00020887973438001375,0.00020788694169978863,9.927926802251225e-07,1,naive
1,2001-01-03,ESH01,0.0010490623338361052,0.0009078385158757376,0.00014122381796036752,1,naive
2,2001-01-04,ESH01,0.0002171074192952898,0.00022783585417754615,0.0,1,naive
3,2001-01-05,ESH01,0.0003231109836358161,0.0003412321783028823,0.0,1,naive
4,2001-01-08,ESH01,0.00021952682029619712,0.00023165246065599861,0.0,1,naive
5,2001-01-09,ESH01,0.00015450746776616151,0.00015284444176910192,1.6630259970595949e-06,1,naive
6,2001-01-10,ESH01,0.0002187100306457052,0.00020429179515410334,1.4418235491601869e-05,1,naive
7,2001-01-11,ESH01,9.844413761465307e-05,9.559696592744343e-05,2.847171687209637e-06,1,naive
8,2001-01-12,ESH01,0.00013943567763639587,0.000144059132908573,0.0,1,naive
9,2001-01-16,ESH01,0.00011783442362242762,0.0001204776009752077,0.0,1,naive
10,2001-01-17,ESH01,9.198334772846938e-05,8.878364368681685e-05,3.199704041652527e-06,1,naive
11,2001-01-18,ESH01,0.00010134147807623077,9.85632203190635e-05,2.778257757167274e-06,1,naive
12,2001-01-19,ESH01,0.00011544303466836555,0.0001142443214901612,1.1987131782043427e-06,1,naive
13,2001-01-22,ESH01,0.0001167378854512343,0.00011390981086672825,2.8280745845060456e-06,1,naive
14,2001-01-23,ESH01,8.420048210734039e-05,8.386044476114751e-05,3.4003734619288367e-07,1,naive
15,2001-01-24,ESH01,8.771689633549787e-05,8.792786405389869e-05,0.0,1,naive
16,2001-01-25,ESH01,0.00011132467351270034,0.00011418923902378697,0.0,1,naive
17,2001-01-26,ESH01,8.436081336963503e-05,8.372449735687578e-05,6.363160127592534e-07,1,naive
18,2001-01-29,ESH01,4.488974898838231e-05,4.181495416089939e-05,3.074794827482922e-06,1,naive
19,2001-01-30,ESH01,4.862749968012037e-05,4.664964496727464e-05,1.9778547128457245e-06,1,naive
20,2001-01-31,ESH01,0.00010185379398890117,9.447645960691879e-05,7.3773343819823835e-06,1,naive
21,2001-02-01,ESH01,6.0840105622629987e-05,5.810754024298797e-05,2.732565379642016e-06,1,naive
22,2001-02-02,ESH01,9.354445807074256e-05,8.901020013453682e-05,4.534257936205741e-06,1,naive
23,2001-02-05,ESH01,7.177495033955058e-05,6.602932170458741e-05,5.74562863496317e-06,1,naive
24,2001-02-06,ESH01,4.838688912447589e-05,4.532850480715147e-05,3.0583843173244212e-06,1,naive
25,2001-02-07,ESH01,6.626216401836051e-05,6.563326405592335e-05,6.288999624371551e-07,1,naive
26,2001-02-08,ESH01,6.494483723130839e-05,6.248265962742807e-05,2.462177603880324e-06,1,naive
27,2001-02-09,ESH01,4.635150493698284e-05,4.5085837511030314e-05,1.265667425952527e-06,1,naive
28,2001-02-12,ESH01,6.567098060241306e-05,6.481576349325058e-05,8.552171091624804e-07,1,naive
29,2001-02-13,ESH01,6.068007463128905e-05,5.388473432568126e-05,6.795340305607795e-06,1,naive
30,2001-02-14,ESH01,8.546796225234545e-05,8.362280751816266e-05,1.8451547341827898e-06,1,naive
31,2001-02-15,ESH01,6.948926842112474e-05,6.85017362917772e-05,9.875321293475396e-07,1,naive
32,2001-02-16,ESH01,7.812505574449926e-05,7.242380803413448e-05,5.7012477103647716e-06,1,naive
33,2001-02-20,ESH01,8.597788842269318e-05,8.619661835352263e-05,0.0,1,naive
34,2001-02-21,ESH01,0.00014085157912784745,0.00013196644257148642,8.885136556361034e-06,1,naive
35,2001-02-22,ESH01,0.00025642528214908774,0.00026596864969210757,0.0,1,naive
36,2001-02-23,ESH01,0.00032516855745143346,0.0003559035026372561,0.0,1,naive
37,2001-02-26,ESH01,0.00012461223616618293,0.0001197250014018843,4.887234764298627e-06,1,naive
38,2001-02-27,ESH01,0.00017589477919705538,0.00015759198736131852,1.830279183573686e-05,1,naive
39,2001-02-28,ESH01,0.00018637061741785932,0.00018909305630964007,0.0,1,naive
40,2001-03-01,ESH01,0.00024348243394042743,0.00023400387009649866,9.478563843928761e-06,1,naive
41,2001-03-02,ESH01,0.00021715547287489518,0.00021686219780879336,2.9327506610181864e-07,1,naive
42,2001-03-05,ESH01,0.00010597229388009256,0.00010629712887807343,0.0,1,naive
43,2001-03-06,ESH01,9.135622926011974e-05,8.827111236503687e-05,3.0851168950828757e-06,1,naive
44,2001-03-07,ESH01,0.00011268348623596583,0.00011371889821094282,0.0,1,naive
45,2001-03-08,ESH01,8.337519660433999e-05,8.508403685173362e-05,0.0,1,naive
46,2001-03-09,ESH01,0.00016769924469626742,0.00015970039926734288,7.99884542892454e-06,1,naive
47,2001-03-13,ESM01,0.00020870962196554245,0.00021005271419583375,0.0,1,naive
48,2001-03-14,ESM01,0.0005461540258518543,0.0005778042751428157,0.0,1,naive
49,2001-03-15,ESM01,0.00013134028941369497,0.0001239592696852309,7.381019728464077e-06,1,naive
50,2001-03-16,ESM01,0.00022193389439782713,0.00022845316666195942,0.0,1,naive
